OA_test,OA_train,mIoU,class_iou,method,classifier,snic_scale,bandNames
0.6175,0.9937,0.0707,"{0: 0.0006, 1: 0.0049, 2: 0.0091, 3: 0.0014, 4: 0.0372, 5: 0.322, 6: 0.1758, 7: 0.1562, 8: 0, 9: 0}",OO,RF50,5,"['gray_var', 'b3_mean', 'b1_mean', 'SMMI_MAX_mean', 'HUE_NDVI_mean', 'NMDI_MAX_mean', 'gray_savg', 'MNDWI_MAX_mean', 'gray_corr', 'SMMI_STD_mean', 'HUE_GRVI_mean', 'HUE_BSI_mean', 'NDVI_STD_mean', 'SMMI_mean', 'gray_idm', 'gray_ent', 'GRVI_STD_mean', 'MNDWI_STD_mean', 'SAT_GRVI_mean', 'SAT_NMDI_mean', 'EVI_MAX_mean', 'gray_contrast', 'NMDI_STD_mean', 'NMDI_mean', 'MNDWI_mean', 'B2_mean', 'NDBI_STD_mean', 'SAT_NDVI_mean', 'GRVI_mean', 'B4_mean', 'HUE_NMDI_mean', 'VAL_NDBI_mean', 'SAT_BSI_mean', 'BSI_MAX_mean', 'VAL_NMDI_mean', 'gray_asm', 'EVI_mean', 'VAL_GRVI_mean', 'EVI_STD_mean', 'SAT_NDBI_mean', 'HUE_NDBI_mean', 'B8A_mean', 'b2_mean', 'GRVI_MAX_mean', 'NDVI_MAX_mean', 'NDVI_mean', 'B3_mean', 'NDBI_MAX_mean', 'B12_mean', 'B11_mean', 'B5_mean', 'BSI_STD_mean', 'VAL_NDVI_mean', 'B6_mean', 'NDBI_mean', 'B7_mean', 'VAL_BSI_mean', 'B8_mean', 'BSI_mean']"
0.5758,0.9903,0.1978,"{0: 0.4446, 1: 0.0653, 2: 0.0752, 3: 0.006, 4: 0.1485, 5: 0.4747, 6: 0.3236, 7: 0.3548, 8: 0.0106, 9: 0.0742}",PB,RF30,/,"['NMDI', 'HUE_NDVI', 'b3', 'SMMI_MAX', 'b2', 'SAT_BSI', 'MNDWI_STD', 'NDVI_STD', 'MNDWI_MAX', 'GRVI_MAX', 'NDBI_STD', 'HUE_GRVI', 'HUE_NDBI', 'MNDWI', 'BSI_STD', 'SAT_NMDI', 'HUE_NMDI', 'SAT_NDVI', 'B11', 'VAL_NMDI', 'EVI_STD', 'SMMI_STD', 'VAL_GRVI', 'NMDI_STD', 'BSI_MAX', 'SAT_GRVI', 'GRVI', 'HUE_BSI', 'B5', 'VAL_NDBI', 'GRVI_STD', 'NMDI_MAX', 'SAT_NDBI', 'B8A', 'B12', 'EVI_MAX', 'B6', 'B7', 'NDVI', 'B8', 'B2', 'NDVI_MAX', 'NDBI_MAX', 'BSI', 'B4', 'SMMI', 'EVI', 'VAL_BSI', 'VAL_NDVI', 'B3', 'NDBI']"
0.5734,0.9924,0.1908,"{0: 0.4328, 1: 0.0922, 2: 0.0883, 3: 0.0068, 4: 0.1381, 5: 0.4812, 6: 0.2842, 7: 0.29, 8: 0.024, 9: 0.0699}",OO,RF50,5,"['b3_mean', 'gray_var', 'HUE_NDVI_mean', 'MNDWI_MAX_mean', 'b1_mean', 'NMDI_MAX_mean', 'SMMI_MAX_mean']"
0.5108,0.9903,0.1691,"{0: 0.3905, 1: 0.0485, 2: 0.0677, 3: 0.0046, 4: 0.1298, 5: 0.4002, 6: 0.2594, 7: 0.3129, 8: 0.0056, 9: 0.0719}",PB,RF30,/,"['MNDWI_STD', 'SMMI_MAX', 'NMDI', 'HUE_NDVI', 'SAT_BSI', 'b2', 'b3']"
0.5581,0.9919,0.1923,"{0: 0.3922, 1: 0.0733, 2: 0.0875, 3: 0.0057, 4: 0.1491, 5: 0.4909, 6: 0.2899, 7: 0.3512, 8: 0.0174, 9: 0.0654}",OO,RF50,5,"['NDVI_STD_mean', 'b3_mean', 'B11_mean', 'NDVI_MAX_mean', 'B12_mean', 'b1_mean', 'NDVI_mean', 'B2_mean', 'b2_mean', 'B3_mean', 'B4_mean', 'B8_mean', 'B5_mean', 'B7_mean', 'B6_mean', 'B8A_mean']"
0.5072,0.9892,0.1711,"{0: 0.3485, 1: 0.0505, 2: 0.0558, 3: 0.0038, 4: 0.1287, 5: 0.4726, 6: 0.2519, 7: 0.3276, 8: 0.0052, 9: 0.0662}",PB,RF30,/,"['NDVI_STD', 'NDVI_MAX', 'b2', 'b3', 'B12', 'B2', 'NDVI', 'B11', 'B3', 'B5', 'B7', 'B8', 'B6', 'B8A', 'B4']"
0.5464,0.9915,0.1848,"{0: 0.3979, 1: 0.0713, 2: 0.0892, 3: 0.0053, 4: 0.1443, 5: 0.4763, 6: 0.2829, 7: 0.2995, 8: 0.016, 9: 0.0652}",OO,RF50,5,"['NDBI_STD_mean', 'b1_mean', 'b3_mean', 'NDBI_MAX_mean', 'B2_mean', 'B5_mean', 'NDBI_mean', 'b2_mean', 'B12_mean', 'B7_mean', 'B8_mean']"
0.5401,0.9885,0.1833,"{0: 0.3938, 1: 0.0467, 2: 0.0586, 3: 0.0045, 4: 0.1355, 5: 0.4526, 6: 0.319, 7: 0.3496, 8: 0.0038, 9: 0.0687}",PB,RF30,/,"['HUE_NDVI', 'NDBI_STD', 'SAT_GRVI', 'BSI', 'HUE_GRVI', 'B8', 'BSI_STD', 'SAT_NDVI', 'NDVI_STD', 'NDVI', 'GRVI_MAX', 'B12', 'GRVI_STD', 'VAL_GRVI', 'NDBI', 'NDVI_MAX', 'B7', 'GRVI', 'VAL_NDVI', 'NDBI_MAX', 'BSI_MAX', 'B4', 'B11', 'B5']"
0.6193,0.9928,0.2236,"{0: 0.4884, 1: 0.1067, 2: 0.113, 3: 0.0076, 4: 0.1674, 5: 0.5193, 6: 0.3694, 7: 0.3631, 8: 0.0278, 9: 0.0732}",OO,RF50,5,"['SMMI_MAX_mean', 'gray_var', 'gray_contrast', 'gray_corr', 'VAL_NMDI_mean', 'HUE_GRVI_mean', 'SMMI_STD_mean', 'b2_mean', 'b3_mean', 'MNDWI_MAX_mean', 'HUE_NDVI_mean', 'gray_savg', 'SAT_NMDI_mean', 'EVI_mean', 'NMDI_mean', 'MNDWI_STD_mean', 'GRVI_STD_mean', 'B6_mean', 'B8A_mean', 'NMDI_MAX_mean', 'gray_ent', 'gray_idm', 'MNDWI_mean', 'HUE_BSI_mean', 'NDVI_MAX_mean', 'NDVI_STD_mean', 'SMMI_mean', 'b1_mean', 'EVI_MAX_mean', 'NDBI_mean', 'VAL_GRVI_mean', 'B3_mean', 'HUE_NDBI_mean', 'BSI_STD_mean', 'NDBI_STD_mean', 'HUE_NMDI_mean', 'NMDI_STD_mean', 'NDVI_mean', 'B12_mean', 'gray_asm', 'BSI_MAX_mean', 'B5_mean', 'GRVI_mean', 'SAT_NDBI_mean', 'VAL_NDVI_mean', 'SAT_GRVI_mean', 'SAT_NDVI_mean', 'NDBI_MAX_mean', 'SAT_BSI_mean', 'B2_mean', 'B11_mean', 'GRVI_MAX_mean', 'B4_mean', 'EVI_STD_mean', 'VAL_NDBI_mean']"
0.5668,0.9883,0.1984,"{0: 0.4514, 1: 0.0638, 2: 0.0733, 3: 0.0061, 4: 0.1528, 5: 0.4794, 6: 0.3227, 7: 0.3512, 8: 0.0083, 9: 0.0745}",PB,RF30,/,"['HUE_GRVI', 'NDVI_MAX', 'HUE_NDVI', 'HUE_NDBI', 'HUE_NMDI', 'NMDI_MAX', 'MNDWI_MAX', 'b2', 'SAT_NDVI', 'MNDWI_STD', 'GRVI_MAX', 'SMMI_MAX', 'EVI_MAX', 'GRVI_STD', 'SAT_BSI', 'NMDI', 'B12', 'b3', 'NDVI_STD', 'GRVI', 'BSI_STD', 'NMDI_STD', 'HUE_BSI', 'NDBI_MAX', 'B2', 'SAT_NMDI', 'NDBI_STD', 'B5', 'VAL_NMDI', 'SAT_NDBI', 'SMMI_STD', 'EVI_STD', 'VAL_GRVI', 'SAT_GRVI', 'NDVI', 'EVI', 'B6', 'BSI', 'B11', 'MNDWI', 'B4', 'B8A', 'VAL_NDBI', 'B7', 'BSI_MAX', 'SMMI', 'B8']"
0.64,0.9742,0.2327,"{0: 0.4923, 1: 0.1409, 2: 0.1401, 3: 0.0076, 4: 0.1748, 5: 0.5245, 6: 0.386, 7: 0.3755, 8: 0.0067, 9: 0.0781}",OO,RF50,10,"['gray_corr', 'MNDWI_MAX_mean', 'NDVI_STD_mean', 'gray_var', 'VAL_NMDI_mean', 'SAT_NMDI_mean', 'gray_savg', 'gray_contrast', 'HUE_NDVI_mean', 'b3_mean', 'NDBI_STD_mean', 'SMMI_MAX_mean', 'NMDI_mean', 'HUE_BSI_mean', 'MNDWI_mean', 'MNDWI_STD_mean', 'B6_mean', 'b2_mean', 'HUE_NDBI_mean', 'gray_idm', 'NMDI_STD_mean', 'B11_mean', 'b1_mean', 'HUE_NMDI_mean', 'HUE_GRVI_mean', 'B12_mean', 'SAT_NDVI_mean', 'EVI_mean', 'NDVI_MAX_mean', 'EVI_STD_mean', 'GRVI_STD_mean', 'B8A_mean', 'NMDI_MAX_mean', 'gray_ent', 'SMMI_mean', 'NDBI_mean', 'EVI_MAX_mean', 'SMMI_STD_mean', 'GRVI_mean', 'BSI_STD_mean', 'SAT_GRVI_mean', 'GRVI_MAX_mean', 'NDBI_MAX_mean', 'gray_asm', 'VAL_GRVI_mean', 'NDVI_mean', 'VAL_NDBI_mean', 'SAT_BSI_mean', 'B2_mean', 'B3_mean', 'VAL_NDVI_mean', 'B4_mean', 'B5_mean', 'BSI_MAX_mean', 'SAT_NDBI_mean']"
0.5668,0.9883,0.1984,"{0: 0.4514, 1: 0.0638, 2: 0.0733, 3: 0.0061, 4: 0.1528, 5: 0.4794, 6: 0.3227, 7: 0.3512, 8: 0.0083, 9: 0.0745}",PB,RF30,/,"['HUE_GRVI', 'NDVI_MAX', 'HUE_NDVI', 'HUE_NDBI', 'HUE_NMDI', 'NMDI_MAX', 'MNDWI_MAX', 'b2', 'SAT_NDVI', 'MNDWI_STD', 'GRVI_MAX', 'SMMI_MAX', 'EVI_MAX', 'GRVI_STD', 'SAT_BSI', 'NMDI', 'B12', 'b3', 'NDVI_STD', 'GRVI', 'BSI_STD', 'NMDI_STD', 'HUE_BSI', 'NDBI_MAX', 'B2', 'SAT_NMDI', 'NDBI_STD', 'B5', 'VAL_NMDI', 'SAT_NDBI', 'SMMI_STD', 'EVI_STD', 'VAL_GRVI', 'SAT_GRVI', 'NDVI', 'EVI', 'B6', 'BSI', 'B11', 'MNDWI', 'B4', 'B8A', 'VAL_NDBI', 'B7', 'BSI_MAX', 'SMMI', 'B8']"
0.6103,0.9668,0.2243,"{0: 0.4735, 1: 0.124, 2: 0.1232, 3: 0.0065, 4: 0.1729, 5: 0.5088, 6: 0.3742, 7: 0.3713, 8: 0.0047, 9: 0.0836}",OO,RF25,10,"['gray_corr', 'VAL_NMDI_mean', 'MNDWI_MAX_mean', 'gray_var', 'B6_mean', 'SAT_NMDI_mean', 'gray_idm', 'B11_mean', 'MNDWI_STD_mean', 'NDVI_STD_mean', 'HUE_BSI_mean', 'HUE_NDBI_mean', 'GRVI_MAX_mean', 'gray_savg', 'NDBI_STD_mean', 'HUE_NMDI_mean', 'HUE_NDVI_mean', 'MNDWI_mean', 'SMMI_MAX_mean', 'b2_mean', 'gray_contrast', 'SAT_NDVI_mean', 'EVI_STD_mean', 'NMDI_STD_mean', 'EVI_mean', 'NMDI_mean', 'b1_mean', 'b3_mean', 'BSI_MAX_mean', 'NDBI_mean', 'SMMI_mean', 'GRVI_mean', 'GRVI_STD_mean', 'EVI_MAX_mean', 'B8A_mean', 'B12_mean', 'SMMI_STD_mean', 'NMDI_MAX_mean', 'gray_ent', 'SAT_BSI_mean', 'gray_asm', 'NDBI_MAX_mean', 'VAL_GRVI_mean', 'NDVI_MAX_mean', 'NDVI_mean', 'VAL_NDBI_mean', 'SAT_GRVI_mean', 'HUE_GRVI_mean', 'B3_mean', 'BSI_STD_mean', 'VAL_NDVI_mean', 'B2_mean', 'B4_mean', 'SAT_NDBI_mean', 'B5_mean']"
0.565,0.9847,0.1963,"{0: 0.4461, 1: 0.0609, 2: 0.0703, 3: 0.0058, 4: 0.1512, 5: 0.4723, 6: 0.3211, 7: 0.3526, 8: 0.0081, 9: 0.0749}",PB,RF25,/,"['MNDWI_MAX', 'HUE_NDVI', 'NDVI_MAX', 'HUE_GRVI', 'NDVI_STD', 'SAT_NDVI', 'MNDWI_STD', 'HUE_NDBI', 'NMDI', 'GRVI_MAX', 'GRVI_STD', 'HUE_NMDI', 'SAT_BSI', 'NDBI_MAX', 'b2', 'NDBI_STD', 'B12', 'SMMI_MAX', 'NMDI_MAX', 'SAT_NMDI', 'B5', 'GRVI', 'EVI_MAX', 'b3', 'HUE_BSI', 'NMDI_STD', 'BSI_STD', 'SAT_GRVI', 'VAL_NMDI', 'NDVI', 'EVI', 'B2', 'B6', 'EVI_STD', 'BSI', 'SAT_NDBI', 'SMMI_STD', 'MNDWI', 'B11', 'VAL_GRVI', 'B4', 'B7', 'VAL_NDBI', 'B8A', 'BSI_MAX', 'B8', 'SMMI']"
0.6139,0.9674,0.2234,"{0: 0.4666, 1: 0.129, 2: 0.1205, 3: 0.0071, 4: 0.1686, 5: 0.5094, 6: 0.3761, 7: 0.3692, 8: 0.017, 9: 0.0709}",OO,RF25,10,"['gray_contrast', 'SMMI_MAX_mean', 'SMMI_STD_mean', 'gray_corr', 'HUE_BSI_mean', 'GRVI_MAX_mean', 'gray_savg', 'MNDWI_MAX_mean', 'NDBI_STD_mean', 'HUE_GRVI_mean', 'GRVI_STD_mean', 'HUE_NDBI_mean', 'HUE_NDVI_mean', 'MNDWI_mean', 'gray_var', 'VAL_GRVI_mean', 'b2_mean', 'B12_mean', 'HUE_NMDI_mean', 'NMDI_MAX_mean', 'NMDI_STD_mean', 'NDVI_STD_mean', 'B8A_mean', 'b3_mean', 'SAT_NDVI_mean', 'VAL_NMDI_mean', 'EVI_mean', 'SAT_BSI_mean', 'NMDI_mean', 'gray_asm', 'gray_ent', 'EVI_MAX_mean', 'b1_mean', 'GRVI_mean', 'SAT_NMDI_mean', 'EVI_STD_mean', 'SMMI_mean', 'SAT_NDBI_mean', 'gray_idm', 'MNDWI_STD_mean', 'NDVI_MAX_mean', 'SAT_GRVI_mean', 'NDVI_mean', 'BSI_MAX_mean', 'NDBI_MAX_mean', 'B2_mean', 'B4_mean', 'VAL_NDBI_mean', 'B3_mean']"
0.5623,0.9833,0.1967,"{0: 0.4371, 1: 0.0669, 2: 0.0738, 3: 0.0059, 4: 0.147, 5: 0.476, 6: 0.3189, 7: 0.3558, 8: 0.0084, 9: 0.0774}",PB,RF25,/,"['SAT_NMDI', 'NMDI', 'VAL_GRVI', 'b3', 'HUE_NDBI', 'SMMI_MAX', 'EVI_STD', 'HUE_NMDI', 'SMMI_STD', 'SAT_NDBI', 'MNDWI_MAX', 'B8', 'HUE_BSI', 'NMDI_STD', 'b2', 'MNDWI', 'NMDI_MAX', 'NDVI_STD', 'NDVI', 'VAL_NMDI', 'GRVI_STD', 'MNDWI_STD', 'VAL_NDBI', 'SAT_NDVI', 'SAT_GRVI', 'HUE_GRVI', 'HUE_NDVI', 'B5', 'B6', 'GRVI_MAX', 'EVI_MAX', 'B2', 'B8A', 'SAT_BSI', 'GRVI', 'BSI_MAX', 'B7', 'B11', 'NDBI_STD', 'BSI_STD', 'B12']"
0.6076,0.9668,0.2229,"{0: 0.4701, 1: 0.1348, 2: 0.1172, 3: 0.0068, 4: 0.1682, 5: 0.5026, 6: 0.3745, 7: 0.3653, 8: 0.0167, 9: 0.0728}",OO,RF25,10,"['MNDWI_MAX_mean', 'HUE_NDVI_mean', 'VAL_NMDI_mean', 'NMDI_mean', 'gray_idm', 'NMDI_MAX_mean', 'SMMI_MAX_mean', 'MNDWI_STD_mean', 'MNDWI_mean', 'gray_contrast', 'gray_savg', 'b2_mean', 'gray_var', 'NDBI_STD_mean', 'VAL_GRVI_mean', 'VAL_NDBI_mean', 'gray_corr', 'HUE_GRVI_mean', 'SMMI_mean', 'HUE_NMDI_mean', 'B8A_mean', 'SAT_NMDI_mean', 'EVI_MAX_mean', 'GRVI_STD_mean', 'NMDI_STD_mean', 'HUE_BSI_mean', 'b3_mean', 'B2_mean', 'NDVI_STD_mean', 'EVI_STD_mean', 'GRVI_mean', 'B4_mean', 'SMMI_STD_mean', 'gray_ent', 'HUE_NDBI_mean', 'SAT_NDBI_mean', 'SAT_BSI_mean', 'SAT_NDVI_mean', 'b1_mean', 'EVI_mean', 'BSI_MAX_mean', 'gray_asm', 'SAT_GRVI_mean']"
0.5713,0.984,0.1956,"{0: 0.4457, 1: 0.0599, 2: 0.0757, 3: 0.0052, 4: 0.1489, 5: 0.4587, 6: 0.3243, 7: 0.3504, 8: 0.0089, 9: 0.0782}",PB,RF25,/,"['b2', 'SAT_NDVI', 'SMMI_MAX', 'B5', 'MNDWI', 'b3', 'SMMI_STD', 'EVI_STD', 'MNDWI_MAX', 'MNDWI_STD', 'HUE_NMDI', 'NMDI', 'SAT_GRVI', 'B8A', 'SAT_NMDI', 'BSI_MAX', 'B11', 'HUE_BSI', 'HUE_GRVI', 'GRVI_STD', 'HUE_NDVI', 'VAL_NDBI', 'GRVI_MAX', 'VAL_GRVI', 'GRVI', 'NMDI_MAX', 'BSI_STD', 'NDBI_STD', 'VAL_NMDI', 'SAT_BSI', 'NDVI_STD', 'NMDI_STD', 'SAT_NDBI', 'HUE_NDBI', 'B12']"
0.6382,0.931,0.2344,"{0: 0.4251, 1: 0.1828, 2: 0.1742, 3: 0.007, 4: 0.1835, 5: 0.4884, 6: 0.4084, 7: 0.3898, 8: 0.0112, 9: 0.0739}",OO,RF25_buffer40,10,"['MNDWI_MAX_mean', 'SMMI_MAX_mean', 'MNDWI_STD_mean', 'gray_corr', 'SMMI_STD_mean', 'b3_mean', 'HUE_GRVI_mean', 'HUE_NMDI_mean', 'gray_contrast', 'gray_idm', 'SMMI_mean', 'MNDWI_mean', 'NMDI_MAX_mean', 'B8A_mean', 'gray_var', 'NDVI_STD_mean', 'BSI_MAX_mean', 'VAL_NDBI_mean', 'HUE_NDBI_mean', 'b1_mean', 'SAT_NMDI_mean', 'VAL_NMDI_mean', 'EVI_STD_mean', 'GRVI_mean', 'B4_mean', 'SAT_BSI_mean', 'HUE_NDVI_mean', 'gray_ent', 'B2_mean', 'VAL_GRVI_mean', 'NMDI_mean', 'SAT_NDBI_mean', 'GRVI_STD_mean', 'gray_savg', 'NDBI_STD_mean', 'SAT_NDVI_mean', 'EVI_mean', 'HUE_BSI_mean', 'NMDI_STD_mean', 'SAT_GRVI_mean', 'gray_asm', 'EVI_MAX_mean', 'b2_mean']"
0.6191,0.9534,0.2097,"{0: 0.432, 1: 0.0951, 2: 0.1073, 3: 0.0058, 4: 0.1627, 5: 0.4728, 6: 0.3599, 7: 0.3746, 8: 0.0082, 9: 0.0789}",PB,RF25_buffer40,/,"['SMMI_MAX', 'MNDWI_MAX', 'SMMI_STD', 'MNDWI_STD', 'NMDI_MAX', 'VAL_NDBI', 'MNDWI', 'B8A', 'BSI_MAX', 'HUE_NDBI', 'HUE_NDVI', 'HUE_GRVI', 'NMDI_STD', 'NDVI_STD', 'SAT_NDVI', 'GRVI_STD', 'VAL_GRVI', 'B11', 'SAT_NMDI', 'B5', 'SAT_GRVI', 'EVI_STD', 'HUE_NMDI', 'SAT_BSI', 'b3', 'VAL_NMDI', 'GRVI_MAX', 'HUE_BSI', 'B12', 'NMDI', 'b2', 'NDBI_STD', 'SAT_NDBI', 'BSI_STD', 'GRVI']"
0.6211,0.8731,0.2186,"{0: 0.3759, 1: 0.1887, 2: 0.185, 3: 0.0066, 4: 0.1513, 5: 0.4438, 6: 0.377, 7: 0.3752, 8: 0.0057, 9: 0.0766}",OO,RF25_buffer40,10,"['MNDWI_MAX_mean', 'SMMI_MAX_mean', 'MNDWI_STD_mean', 'b3_mean', 'SMMI_STD_mean', 'NMDI_MAX_mean', 'HUE_NMDI_mean', 'HUE_GRVI_mean', 'MNDWI_mean', 'gray_idm', 'SMMI_mean', 'B8A_mean', 'gray_corr', 'gray_contrast', 'gray_var']"
0.5959,0.8883,0.184,"{0: 0.341, 1: 0.08, 2: 0.1241, 3: 0.0047, 4: 0.1266, 5: 0.3841, 6: 0.3358, 7: 0.3635, 8: 0.0057, 9: 0.0746}",PB,RF25_buffer40,/,"['SMMI_MAX', 'MNDWI_MAX', 'SMMI_STD', 'B8A', 'MNDWI', 'MNDWI_STD', 'HUE_NDBI', 'HUE_NDVI', 'VAL_NDBI', 'NMDI_MAX', 'HUE_GRVI', 'NMDI_STD', 'NDVI_STD', 'BSI_MAX', 'SAT_NDVI']"
